Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Hall,DEF,5.5,84,2.9,2.7,3.7,4.0,3.0,16.2,0.59,2.5%
Senesi,DEF,4.5,88,2.5,4.0,3.1,3.3,3.3,16.2,0.72,0.7%
Anthony,MID,5.5,72,3.0,4.2,3.1,2.8,3.1,16.2,0.59,0.1%
Tonali,MID,5.5,89,3.2,3.1,3.3,3.5,3.0,16.1,0.59,2.2%
Gvardiol,DEF,6.0,56,2.8,3.8,3.3,3.7,2.5,16.1,0.54,17.1%
Branthwaite,DEF,5.5,91,3.7,3.5,3.4,3.2,2.2,16.0,0.58,1.9%
Konsa,DEF,4.5,89,3.1,2.8,3.3,3.1,3.7,16.0,0.71,24.0%
Baleba,MID,5.0,86,3.6,3.2,3.0,3.1,3.1,15.9,0.64,5.1%
Henderson,GK,5.0,91,2.9,3.4,2.8,3.7,3.1,15.9,0.63,5.2%
Wan-Bissaka,DEF,4.5,89,4.0,2.7,2.8,3.2,3.2,15.9,0.70,30.1%
José Sá,GK,4.5,93,2.9,3.1,3.5,2.9,3.5,15.8,0.70,2.3%
Aït-Nouri,DEF,6.0,66,3.6,3.6,3.0,3.4,2.3,15.8,0.53,22.1%
Romero,DEF,5.0,90,4.3,2.2,3.5,3.1,2.8,15.8,0.63,1.9%
Isak,FWD,10.5,0,0.0,1.9,3.7,5.6,4.5,15.8,0.30,20.6%
Cash,DEF,4.5,78,3.1,2.9,3.2,3.0,3.5,15.7,0.70,1.8%
Adingra,MID,5.5,80,3.6,3.2,3.2,2.8,2.9,15.6,0.57,2.2%
Van Hecke,DEF,4.5,90,3.8,3.2,2.4,2.9,3.3,15.5,0.69,1.2%
Kilman,DEF,4.5,91,3.9,2.7,2.9,3.0,3.0,15.5,0.69,0.4%
Roefs,GK,4.5,94,3.4,3.2,3.0,2.9,3.0,15.5,0.69,0.2%
Kelleher,GK,4.5,84,2.2,3.3,3.7,3.1,3.2,15.5,0.69,22.3%
Dorgu,DEF,4.5,83,2.9,3.3,4.4,2.0,3.0,15.5,0.69,6.4%
Estève,DEF,4.0,92,3.0,4.1,2.8,2.3,3.3,15.5,0.77,15.9%
Tel,MID,6.5,64,4.4,2.4,3.2,2.8,2.6,15.4,0.47,0.2%
Füllkrug,FWD,6.0,66,3.6,2.9,2.9,3.1,3.0,15.4,0.51,2.9%
Šeško,FWD,7.5,52,2.5,2.9,4.1,2.8,3.3,15.4,0.41,2.8%
Dewsbury-Hall,MID,5.0,71,3.3,3.4,3.1,3.2,2.4,15.4,0.62,2.6%
Aina,DEF,5.0,91,3.5,2.8,3.5,2.1,3.4,15.3,0.61,17.0%
Perri,GK,4.5,88,3.3,2.8,3.1,3.0,3.1,15.3,0.68,0.3%
Pope,GK,5.0,85,2.9,2.7,3.3,3.4,2.8,15.1,0.60,3.6%
Souček,MID,6.0,69,3.3,3.0,2.7,3.1,3.0,15.1,0.50,1.0%
