Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Hladký,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Roberts,DEF,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Dodgson,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Jordan,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Sambo,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Benson,MID,5.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Boateng,MID,4.7,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Churlinov,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Hannibal,MID,4.8,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Koleosho,MID,5.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
A.Ramsey,MID,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Adewumi,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Banel,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Amdouni,FWD,4.8,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Obafemi,FWD,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Penders,GK,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Slonina,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Colwill,DEF,4.8,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
M.Sarr,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Anselmino,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Nkunku,MID,5.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Mudryk,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Paez,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
N.Jackson,FWD,6.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Matthews,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Muñoz,DEF,6.0,0,0.0,0.0,0.0,0.0,0.0,0.00,18.2%
Chadi Riad,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Holding,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Doucouré,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Agbinone,MID,4.3,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Ebiowei,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
J.Rak-Sakyi,MID,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
M.França,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Ozoh,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Rodney,MID,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Umeh,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Édouard,FWD,5.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Tyrer,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Branthwaite,DEF,5.3,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Armstrong,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Heath,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Metcalfe,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Y.Chermiti,FWD,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Sherif,FWD,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Benda,GK,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Amissah,DEF,3.8,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Andreas,MID,5.3,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Godo,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Harris,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Meslier,GK,4.2,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Cairns,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Schmidt,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
James,MID,5.3,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Greenwood,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Ramazani,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Crew,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Gelhardt,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Gyabi,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
