Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
M.Salah,MID,14.0,54,4.0,0.0,0.0,0.0,4.0,0.07,1.2%
Justin,DEF,3.9,18,0.7,1.2,1.3,0.9,4.0,0.25,0.0%
Veltman,DEF,4.3,12,0.4,1.4,0.9,1.2,3.9,0.23,0.0%
Amad,MID,6.3,83,3.9,0.0,0.0,0.0,3.9,0.15,0.1%
Milner,MID,4.9,5,0.3,1.3,1.1,1.2,3.9,0.20,0.0%
Rodrigo,MID,6.3,0,0.0,0.0,1.4,2.5,3.9,0.15,0.0%
Henry,DEF,4.3,17,0.7,0.8,1.0,1.3,3.9,0.23,0.0%
Acheampong,DEF,3.9,23,1.1,0.9,0.9,1.0,3.8,0.25,0.0%
Poveda,MID,4.8,2,0.2,1.2,1.3,1.1,3.8,0.20,0.0%
Ndiaye,MID,6.4,80,3.8,0.0,0.0,0.0,3.8,0.15,13.4%
Danso,DEF,4.3,16,0.7,0.7,1.1,1.3,3.8,0.22,0.0%
Iwobi,MID,6.4,80,3.7,0.0,0.0,0.0,3.7,0.15,0.0%
Tosin,DEF,4.1,21,1.0,0.8,1.0,1.0,3.7,0.23,0.0%
Castagne,DEF,4.3,16,0.7,1.0,1.2,0.8,3.7,0.22,0.0%
Canvot,DEF,4.5,13,0.3,0.8,1.1,1.5,3.7,0.21,0.0%
Bassey,DEF,4.5,90,3.6,0.0,0.0,0.0,3.6,0.20,0.0%
Aké,DEF,5.3,8,0.3,1.2,0.8,1.2,3.6,0.17,0.0%
Nørgaard,MID,5.2,40,2.0,0.5,0.4,0.5,3.5,0.17,0.0%
Boscagli,DEF,4.2,9,0.3,1.3,0.8,1.1,3.5,0.21,0.0%
Malacia,DEF,3.8,1,0.0,0.8,1.2,1.4,3.5,0.23,0.1%
H.Bueno,DEF,4.4,14,0.4,1.3,0.8,1.0,3.4,0.20,0.0%
Sosa,DEF,4.8,12,0.5,0.9,1.0,1.0,3.4,0.18,0.0%
Maguire,DEF,4.3,20,0.1,0.6,1.1,1.6,3.4,0.20,0.0%
Davies,DEF,4.3,15,0.5,0.8,0.8,0.9,3.1,0.18,0.0%
Wood,FWD,7.2,0,0.0,0.3,1.0,1.8,3.1,0.11,0.2%
Khusanov,DEF,5.4,12,0.5,0.9,0.8,0.8,3.0,0.14,0.0%
Lindelöf,DEF,4.5,35,1.4,0.6,0.5,0.5,3.0,0.16,0.0%
Patterson,DEF,4.4,5,0.2,0.6,1.1,1.0,2.9,0.17,0.0%
Morato,DEF,4.3,12,0.4,0.9,0.7,0.9,2.9,0.17,0.0%
Enes Ünal,FWD,5.4,7,0.5,0.8,0.8,0.8,2.9,0.13,0.0%
Harrison,MID,5.1,11,0.6,0.8,0.7,0.8,2.9,0.14,0.0%
Diouf,DEF,4.1,88,2.9,0.0,0.0,0.0,2.9,0.18,0.1%
Gana,MID,5.4,81,2.8,0.0,0.0,0.0,2.8,0.13,0.0%
Igor,DEF,4.5,14,0.5,0.9,1.4,0.0,2.8,0.15,0.0%
Kalimuendo,FWD,6.0,9,0.6,0.8,0.8,0.6,2.8,0.12,0.0%
Wan-Bissaka,DEF,4.2,84,2.8,0.0,0.0,0.0,2.8,0.16,0.0%
McAtee,MID,5.1,6,0.4,0.7,0.9,0.8,2.8,0.14,0.0%
Chukwueze,MID,5.3,50,2.7,0.0,0.0,0.0,2.7,0.13,0.0%
Hato,DEF,4.7,11,0.5,0.5,0.7,1.0,2.7,0.14,0.0%
Longstaff,MID,4.9,0,0.0,0.0,1.1,1.6,2.7,0.14,0.4%
Sarr,MID,6.4,73,2.7,0.0,0.0,0.0,2.7,0.10,0.9%
Kostoulas,FWD,4.8,7,0.5,0.8,0.6,0.8,2.7,0.14,0.0%
Sadiki,MID,5.0,88,2.6,0.0,0.0,0.0,2.6,0.13,0.0%
Nwaneri,MID,5.1,13,1.0,0.5,0.5,0.5,2.5,0.12,0.0%
Traoré,MID,5.5,52,2.5,0.0,0.0,0.0,2.5,0.11,0.0%
Irving,MID,4.4,12,0.6,0.5,0.6,0.8,2.5,0.14,0.0%
L.Guilherme,MID,4.9,9,0.5,0.5,0.7,0.6,2.4,0.12,0.0%
G.Jesus,FWD,6.4,11,0.9,0.5,0.5,0.5,2.4,0.09,0.0%
Stones,DEF,5.4,0,0.0,0.4,0.9,1.1,2.4,0.11,0.0%
Nunes,MID,4.9,8,0.6,0.5,0.6,0.7,2.4,0.12,0.0%
Reinildo,DEF,3.9,73,2.3,0.0,0.0,0.0,2.3,0.15,0.0%
Buonanotte,MID,4.6,8,0.6,0.5,0.5,0.7,2.3,0.12,0.0%
Cirkin,DEF,4.0,0,0.0,0.6,1.0,0.7,2.3,0.14,0.0%
Elliott,MID,5.2,3,0.3,0.8,0.6,0.6,2.2,0.11,0.0%
Watson,MID,4.8,4,0.3,0.7,0.5,0.6,2.1,0.11,0.0%
Lucas Pires,DEF,3.8,0,0.0,0.5,0.8,0.8,2.1,0.14,0.1%
Foster,FWD,5.0,44,2.0,0.0,0.0,0.0,2.0,0.10,0.8%
Marmoush,MID,8.3,29,2.0,0.0,0.0,0.0,2.0,0.06,0.0%
Baleba,MID,4.6,55,2.0,0.0,0.0,0.0,2.0,0.11,0.1%
Willock,MID,5.0,7,0.5,0.4,0.5,0.6,2.0,0.10,0.0%
B.Badiashile,DEF,4.4,9,0.4,0.4,0.5,0.7,2.0,0.11,0.0%
P.M.Sarr,MID,4.6,45,1.9,0.0,0.0,0.0,1.9,0.11,0.0%
Agbadou,DEF,4.3,80,1.9,0.0,0.0,0.0,1.9,0.11,0.0%
Talbi,MID,5.0,43,1.9,0.0,0.0,0.0,1.9,0.10,0.0%
M.Bizot,GK,4.2,39,1.5,0.2,0.1,0.1,1.9,0.11,0.0%
George,MID,4.8,5,0.4,0.5,0.4,0.6,1.9,0.10,0.0%
Lavia,MID,4.9,0,0.0,0.2,0.8,0.9,1.9,0.10,0.0%
Coppola,DEF,4.2,3,0.1,0.6,0.3,0.8,1.8,0.11,0.0%
Mazraoui,DEF,4.9,42,1.8,0.0,0.0,0.0,1.8,0.09,0.0%
Obi,FWD,4.2,2,0.2,0.4,0.6,0.7,1.8,0.11,3.2%
Christie,MID,4.9,0,0.0,0.1,0.7,1.0,1.8,0.09,0.0%
Wissa,FWD,7.3,29,1.8,0.0,0.0,0.0,1.8,0.06,0.1%
Muniz,FWD,5.4,0,0.0,0.0,0.4,1.4,1.8,0.08,0.1%
Guessand,MID,6.2,28,1.7,0.0,0.0,0.0,1.7,0.07,0.0%
Trippier,DEF,4.9,25,0.1,0.3,0.5,0.9,1.7,0.09,0.0%
Edozie,MID,4.3,2,0.2,0.5,0.6,0.5,1.7,0.10,0.0%
Matete,MID,4.3,1,0.1,0.5,0.6,0.5,1.7,0.10,0.0%
Barnes,FWD,4.3,2,0.2,0.4,0.5,0.6,1.6,0.09,2.8%
Byram,DEF,3.8,4,0.2,0.5,0.4,0.4,1.6,0.10,0.1%
Sangaré,MID,4.9,40,1.6,0.0,0.0,0.0,1.6,0.08,0.0%
Bogarde,DEF,4.0,10,0.4,0.4,0.4,0.4,1.5,0.10,0.0%
Tuanzebe,DEF,3.9,86,1.5,0.0,0.0,0.0,1.5,0.10,0.3%
Peart-Harris,MID,4.4,3,0.3,0.3,0.4,0.5,1.4,0.08,0.0%
Aït-Nouri,DEF,5.7,32,1.4,0.0,0.0,0.0,1.4,0.06,0.2%
Esse,MID,4.7,0,0.0,0.4,0.5,0.5,1.4,0.08,0.0%
John,GK,4.0,24,0.9,0.1,0.1,0.3,1.4,0.09,0.0%
Adli,MID,5.4,28,1.4,0.0,0.0,0.0,1.4,0.07,0.0%
Pinnock,DEF,4.2,4,0.1,0.5,0.3,0.4,1.4,0.08,0.0%
Bornauw,DEF,3.8,6,0.2,0.2,0.5,0.5,1.4,0.09,0.0%
Osula,FWD,5.4,0,0.0,0.3,0.4,0.6,1.3,0.06,0.0%
Tchatchoua,DEF,4.5,80,1.3,0.0,0.0,0.0,1.3,0.07,0.0%
Ba,MID,4.3,0,0.0,0.3,0.5,0.5,1.3,0.07,0.2%
Tolu,FWD,5.4,30,1.3,0.0,0.0,0.0,1.3,0.06,0.0%
Chirewa,MID,4.3,29,1.2,0.0,0.0,0.0,1.2,0.07,0.0%
Reed,MID,4.3,0,0.0,0.4,0.4,0.4,1.2,0.07,0.2%
Marshall,FWD,4.3,1,0.1,0.2,0.3,0.5,1.1,0.07,4.6%
Fraser,FWD,4.3,0,0.0,0.4,0.4,0.4,1.1,0.06,0.4%
A.García,DEF,3.9,4,0.2,0.2,0.3,0.3,1.1,0.07,0.0%
Mamardashvili,GK,4.3,2,0.1,0.2,0.3,0.5,1.0,0.06,0.0%
Aznou,DEF,4.3,0,0.0,0.2,0.4,0.4,1.0,0.06,0.0%
Kusi-Asare,FWD,4.5,0,0.0,0.4,0.3,0.3,1.0,0.06,0.0%
Bajcetic,MID,4.3,0,0.0,0.2,0.4,0.4,1.0,0.06,0.0%
Kone,MID,4.3,0,0.0,0.3,0.3,0.3,0.9,0.05,0.0%
Soler,DEF,4.0,3,0.1,0.2,0.4,0.2,0.9,0.06,0.0%
Chiwome,FWD,4.4,0,0.0,0.1,0.3,0.4,0.9,0.05,0.0%
Worrall,DEF,3.9,3,0.1,0.1,0.4,0.2,0.8,0.05,0.0%
Adingra,MID,4.9,14,0.8,0.0,0.0,0.0,0.8,0.04,0.0%
Trafford,GK,4.6,0,0.0,0.2,0.2,0.3,0.8,0.04,0.0%
Jörgensen,GK,4.3,3,0.1,0.2,0.2,0.2,0.8,0.04,0.0%
Jair Cunha,DEF,4.3,0,0.0,0.2,0.2,0.3,0.7,0.04,0.0%
Gonzalez,MID,4.3,0,0.0,0.3,0.2,0.2,0.7,0.04,0.0%
D.Leon,DEF,4.2,0,0.0,0.2,0.2,0.3,0.7,0.04,0.0%
Jimoh-Aloba,MID,4.5,0,0.0,0.2,0.2,0.2,0.6,0.04,0.0%
Hjelde,DEF,4.0,0,0.0,0.2,0.3,0.1,0.6,0.04,0.0%
G.Rodriguez,MID,4.8,0,0.0,0.1,0.2,0.3,0.6,0.03,0.0%
O'Nien,DEF,4.0,0,0.0,0.0,0.0,0.6,0.6,0.04,0.0%
Abbott,DEF,3.8,4,0.1,0.1,0.1,0.2,0.6,0.04,0.0%
Ahamada,MID,4.3,0,0.0,0.2,0.2,0.2,0.6,0.04,0.0%
Mukasa,MID,4.4,0,0.0,0.2,0.2,0.3,0.6,0.03,0.0%
Uche,FWD,5.5,10,0.6,0.0,0.0,0.0,0.6,0.03,0.0%
Phillips,MID,4.8,0,0.0,0.3,0.2,0.1,0.6,0.03,0.0%
Delcroix,DEF,3.8,7,0.2,0.1,0.1,0.1,0.6,0.04,0.0%
Arrizabalaga,GK,4.1,3,0.2,0.1,0.1,0.2,0.6,0.03,0.0%
Pembele,DEF,3.9,1,0.0,0.2,0.2,0.1,0.5,0.03,0.0%
Josh Dasilva,MID,99.9,0,0.0,0.0,0.2,0.3,0.5,0.00,0.0%
Alese,DEF,4.0,0,0.0,0.1,0.3,0.1,0.5,0.03,0.0%
Welch,DEF,3.8,1,0.0,0.1,0.2,0.1,0.5,0.03,0.0%
Olusesi,MID,4.3,0,0.0,0.1,0.1,0.2,0.4,0.03,0.0%
Lecomte,GK,3.9,1,0.1,0.1,0.1,0.2,0.4,0.03,0.1%
Krafth,DEF,4.3,0,0.0,0.1,0.1,0.2,0.4,0.02,0.0%
Bayindir,GK,4.8,1,0.1,0.1,0.2,0.1,0.4,0.02,0.0%
D.Essugo,MID,4.3,0,0.0,0.1,0.2,0.1,0.4,0.02,0.0%
