Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Hladký,1,1,0,0,0,1,2,0.1,0.4%
Moore,0,0,0,0,1,0,1,0.0,0.1%
Edozie,0,0,0,0,1,0,1,0.0,0.4%
Kone,0,0,0,0,0,1,1,0.0,0.1%
Aleksić,0,0,0,1,0,0,1,0.0,0.1%
Anderson,1,1,0,0,2,0,3,0.1,0.6%
Ba,0,0,0,0,0,1,1,0.0,0.4%
Worrall,0,0,0,0,1,1,2,0.1,0.2%
Gunn,0,0,0,1,0,0,1,0.1,0.1%
Yasin,0,0,0,0,0,1,1,0.1,0.3%
Akinmboni,0,0,0,0,0,1,1,0.1,0.4%
Abbott,0,0,0,0,0,1,1,0.1,0.3%
Odysseas,0,0,0,0,0,1,1,0.1,0.1%
Casey,0,0,0,0,0,1,1,0.1,0.8%
Hein,0,0,0,0,0,0,0,0.0,0.6%
Setford,0,0,0,0,0,0,0,0.0,0.2%
Clarke,0,0,0,0,0,0,0,0.0,0.6%
Kacurri,0,0,0,0,0,0,0,0.0,0.2%
Nichols,0,0,0,0,0,0,0,0.0,0.2%
Fábio Vieira,0,0,0,0,0,0,0,0.0,0.1%
Kabia,0,0,0,0,0,0,0,0.0,0.3%
G.Jesus,0,0,0,0,0,0,0,0.0,0.0%
Gauci,0,0,0,0,0,0,0,0.0,1.0%
Marschall,0,0,0,0,0,0,0,0.0,0.1%
Sousa,0,0,0,0,0,0,0,0.0,0.3%
Iling Jr,0,0,0,0,0,0,0,0.0,0.0%
Barrenechea,0,0,0,0,0,0,0,0.0,0.0%
Dobbin,0,0,0,0,0,0,0,0.0,0.1%
Broggio,0,0,0,0,0,0,0,0.0,0.3%
Dendoncker,0,0,0,0,0,0,0,0.0,0.4%
Jimoh-Aloba,0,0,0,0,0,0,0,0.0,0.1%
Young,0,0,0,0,0,0,0,0.0,0.6%
Dennis,0,0,0,0,0,0,0,0.0,0.7%
McKenna,0,0,0,0,0,0,0,0.0,0.2%
Paulsen,0,0,0,0,0,0,0,0.0,0.2%
Bevan,0,0,0,0,0,0,0,0.0,0.3%
