Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
Brooks,MID,5.0,18,0.9,1.1,0.6,1.1,0.8,4.5,0.18,0.1%
Sosa,DEF,5.0,21,0.7,1.0,0.8,1.0,0.8,4.4,0.18,0.1%
Botman,DEF,5.0,23,0.8,0.7,0.7,1.1,1.0,4.4,0.17,0.5%
Hill,DEF,4.0,44,1.3,0.7,0.7,0.9,0.8,4.4,0.22,0.8%
Areola,GK,4.5,48,1.9,0.9,0.4,0.5,0.6,4.3,0.19,5.3%
Stones,DEF,5.5,19,0.8,0.9,0.8,0.8,0.8,4.2,0.15,0.5%
Clyne,DEF,4.0,16,0.5,0.8,0.8,1.0,1.0,4.1,0.21,0.7%
Sinisterra,MID,5.0,10,0.4,1.0,0.8,1.0,0.9,4.1,0.17,0.1%
Bornauw,DEF,4.0,42,1.3,0.4,0.9,0.7,0.7,4.0,0.20,0.2%
M.Bizot,GK,4.5,95,3.5,0.1,0.2,0.1,0.1,4.0,0.18,0.3%
Wissa,FWD,7.5,0,0.0,0.0,0.0,1.1,2.7,3.8,0.10,5.7%
Tuanzebe,DEF,4.0,13,0.4,0.9,0.6,0.7,1.2,3.8,0.19,3.0%
J.Cuenca,DEF,4.5,42,1.4,1.0,0.6,0.4,0.4,3.8,0.17,0.1%
Masuaku,DEF,4.0,28,0.8,1.0,1.0,0.5,0.5,3.8,0.19,0.1%
Bissouma,MID,5.5,8,0.5,0.5,0.8,1.0,1.0,3.7,0.13,0.1%
Mavropanos,DEF,4.5,16,0.7,0.5,0.6,1.0,0.9,3.7,0.16,0.1%
Seelt,DEF,4.0,46,1.7,1.0,0.5,0.3,0.1,3.6,0.18,0.4%
Lucas Pires,DEF,4.0,17,0.5,0.9,0.8,0.6,0.7,3.4,0.17,0.2%
Neil,MID,5.0,16,0.6,0.6,0.7,0.8,0.8,3.4,0.14,0.1%
Foster,FWD,5.0,16,0.9,0.7,0.6,0.6,0.6,3.4,0.14,0.3%
Álvarez,MID,5.0,11,0.5,0.6,0.8,0.7,0.8,3.4,0.14,0.2%
Nørgaard,MID,5.5,12,0.5,0.6,0.6,0.9,0.7,3.3,0.12,0.7%
Hee Chan,MID,6.0,4,0.4,0.6,0.8,0.7,0.9,3.3,0.11,0.2%
Rigg,MID,5.0,12,0.6,0.7,0.7,0.6,0.6,3.2,0.13,0.1%
Gray,MID,5.0,12,0.5,0.7,0.6,0.6,0.8,3.2,0.13,0.2%
Bailey,MID,5.5,10,0.7,0.4,0.6,0.6,0.8,3.1,0.11,0.5%
Tzimas,FWD,5.5,4,0.4,0.6,0.6,0.8,0.7,3.1,0.11,0.1%
Byram,DEF,4.0,17,0.7,0.4,0.7,0.6,0.6,3.1,0.16,0.3%
Summerville,MID,5.5,0,0.0,0.0,0.0,0.9,2.1,3.1,0.11,0.0%
Cairney,MID,5.0,5,0.4,0.5,0.6,0.8,0.8,3.0,0.12,0.1%
Nwaneri,MID,5.5,6,0.5,0.6,0.6,0.7,0.6,3.0,0.11,0.4%
O'Nien,DEF,4.0,0,0.0,0.0,0.0,0.8,2.1,2.9,0.15,0.0%
G.Rodriguez,MID,5.0,9,0.5,0.6,0.5,0.8,0.6,2.9,0.12,0.1%
Kroupi.Jr,FWD,4.5,10,0.5,0.5,0.5,0.6,0.7,2.9,0.13,1.1%
Jordan,DEF,4.0,1,0.0,0.3,0.5,0.6,1.4,2.8,0.14,0.2%
Endo,MID,5.0,25,1.1,0.3,0.4,0.4,0.5,2.8,0.11,0.1%
Peart-Harris,MID,4.5,7,0.5,0.6,0.9,0.5,0.3,2.7,0.12,0.0%
Scarles,DEF,4.5,10,0.5,0.5,0.6,0.6,0.5,2.7,0.12,0.0%
Aznou,DEF,4.5,28,1.2,0.4,0.3,0.5,0.4,2.7,0.12,0.1%
Janelt,MID,5.0,0,0.0,0.0,0.6,1.0,1.1,2.6,0.10,0.1%
Buonanotte,MID,5.0,8,0.6,0.5,0.5,0.4,0.5,2.6,0.10,0.3%
Zirkzee,FWD,6.0,6,0.2,0.5,0.6,0.5,0.7,2.6,0.09,0.6%
Tchaouna,MID,5.0,8,0.5,0.5,0.5,0.5,0.6,2.6,0.10,0.0%
Gruev,MID,5.0,10,0.4,0.3,0.6,0.6,0.6,2.6,0.10,0.1%
McAtee,MID,5.5,6,0.5,0.5,0.4,0.7,0.4,2.5,0.09,0.1%
Lavia,MID,5.0,16,0.2,0.4,0.7,0.6,0.6,2.5,0.10,0.1%
Barkley,MID,5.0,9,0.4,0.4,0.5,0.5,0.6,2.4,0.10,0.2%
Pinnock,DEF,4.5,6,0.3,0.4,0.8,0.5,0.5,2.4,0.11,0.3%
Diop,DEF,4.5,13,0.4,0.5,0.5,0.5,0.6,2.4,0.11,0.1%
Ajer,DEF,4.5,11,0.4,0.4,0.6,0.4,0.6,2.4,0.11,0.2%
March,MID,6.0,0,0.0,0.0,0.3,1.0,1.0,2.3,0.08,0.1%
Bobb,MID,5.5,6,0.5,0.5,0.5,0.4,0.5,2.3,0.08,0.1%
Édouard,FWD,5.0,2,0.2,0.5,0.4,0.6,0.5,2.3,0.09,1.0%
H.Bueno,DEF,4.5,11,0.4,0.4,0.5,0.4,0.5,2.3,0.10,0.1%
Mosquera,DEF,5.5,7,0.3,0.5,0.3,0.6,0.6,2.3,0.08,0.1%
Benson,MID,5.5,6,0.4,0.5,0.4,0.4,0.5,2.2,0.08,0.0%
Bayindir,GK,5.0,48,1.6,0.3,0.1,0.1,0.1,2.2,0.09,0.4%
Kiwior,DEF,5.5,8,0.3,0.5,0.4,0.5,0.4,2.2,0.08,0.1%
D.Essugo,MID,4.5,8,0.4,0.5,0.4,0.4,0.4,2.1,0.09,0.1%
Iroegbunam,MID,5.0,5,0.3,0.4,0.4,0.4,0.5,2.1,0.08,0.0%
Willock,MID,5.0,0,0.0,0.0,0.0,0.7,1.3,2.0,0.08,0.1%
Max Dowman,MID,99.9,0,0.0,0.6,0.4,0.5,0.5,2.0,0.00,0.0%
Watson,MID,5.0,4,0.2,0.5,0.4,0.4,0.5,1.9,0.08,0.0%
Andrey Santos,MID,4.5,9,0.4,0.3,0.4,0.3,0.5,1.9,0.08,0.3%
Philip,MID,5.0,11,0.5,0.6,0.2,0.2,0.3,1.9,0.07,0.1%
Roerslev,DEF,4.5,7,0.3,0.4,0.4,0.4,0.3,1.8,0.08,0.1%
Marshall,FWD,4.5,3,0.3,0.5,0.3,0.3,0.3,1.8,0.08,0.7%
Keane,DEF,4.5,6,0.3,0.3,0.4,0.4,0.3,1.8,0.08,0.3%
M.França,MID,4.5,0,0.0,0.0,0.0,0.5,1.2,1.7,0.08,0.1%
Lamptey,DEF,4.5,5,0.3,0.3,0.4,0.3,0.4,1.7,0.08,0.4%
Bogarde,DEF,4.0,6,0.2,0.4,0.3,0.3,0.5,1.7,0.08,0.3%
Ramsdale,GK,5.0,5,0.2,0.3,0.3,0.5,0.4,1.7,0.07,0.7%
Josh Bowler,FWD,99.9,2,0.2,0.3,0.4,0.4,0.4,1.7,0.00,0.0%
Da Silva Moreira,MID,4.5,2,0.2,0.3,0.3,0.3,0.5,1.7,0.07,0.2%
