Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
M.Salah,MID,14.5,87,7.3,5.7,5.6,6.7,6.7,32.0,0.44,53.4%
Palmer,MID,10.5,89,6.1,5.3,6.0,5.1,4.9,27.4,0.52,58.8%
Saka,MID,10.0,88,5.3,6.1,4.0,5.6,4.6,25.6,0.51,17.5%
Haaland,FWD,14.0,90,5.7,5.6,4.8,5.6,3.8,25.4,0.36,22.7%
B.Fernandes,MID,9.0,90,4.7,5.1,6.2,4.0,5.0,24.9,0.55,18.9%
Watkins,FWD,9.0,84,5.1,4.5,5.1,4.3,5.2,24.1,0.54,22.3%
Marmoush,MID,8.5,74,5.0,5.3,4.8,5.3,3.6,24.0,0.56,12.8%
Wirtz,MID,8.5,84,5.5,4.5,4.1,5.0,4.7,23.8,0.56,34.7%
Mateta,FWD,7.5,88,4.0,5.0,4.1,5.6,4.3,23.0,0.61,8.4%
Gyökeres,FWD,9.0,69,4.4,5.5,3.6,4.9,4.0,22.4,0.50,26.0%
Eze,MID,7.5,85,3.8,4.8,3.8,5.6,4.1,22.2,0.59,10.1%
Bowen,FWD,8.0,92,5.0,4.1,3.9,4.3,4.3,21.7,0.54,18.9%
Sarr,MID,6.5,84,3.6,4.4,3.6,5.1,4.0,20.7,0.64,5.2%
Ødegaard,MID,8.0,83,4.2,5.1,3.2,4.3,3.6,20.4,0.51,3.3%
Semenyo,MID,7.0,89,3.4,4.8,3.6,4.3,4.1,20.2,0.58,5.3%
Gakpo,MID,7.5,66,4.4,3.8,3.5,4.3,4.3,20.2,0.54,6.3%
Thiago,FWD,6.0,85,4.2,4.4,4.8,3.6,3.0,19.9,0.66,1.0%
Virgil,DEF,6.0,90,4.3,3.5,3.4,4.3,4.1,19.7,0.66,24.0%
Strand Larsen,FWD,6.5,85,3.8,3.8,4.1,3.6,4.3,19.6,0.60,5.2%
L.Paquetá,MID,6.0,80,4.5,3.9,3.7,3.7,4.0,19.6,0.65,1.1%
Frimpong,DEF,6.0,79,4.5,3.4,3.1,4.2,4.3,19.5,0.65,29.9%
Schade,MID,7.0,84,3.1,4.1,4.6,3.8,3.8,19.4,0.56,0.9%
Tielemans,MID,6.0,86,4.1,3.6,4.0,3.5,4.2,19.4,0.65,2.1%
Georginio,MID,6.0,74,4.7,3.8,3.5,3.6,3.8,19.4,0.65,0.8%
Wood,FWD,7.5,80,4.5,3.8,4.2,3.0,3.9,19.4,0.52,14.2%
Mitoma,MID,6.5,85,4.5,3.7,3.5,3.7,4.0,19.3,0.59,6.7%
Enzo,MID,6.5,90,4.1,3.8,4.0,3.7,3.6,19.2,0.59,3.7%
Gibbs-White,MID,7.5,80,4.2,3.6,4.4,2.9,4.0,19.2,0.51,5.2%
Evanilson,FWD,7.0,84,3.4,4.5,3.5,3.9,3.9,19.1,0.55,2.2%
Rice,MID,6.5,84,4.0,4.4,3.2,3.9,3.5,19.1,0.59,7.5%
Anderson,MID,5.5,85,4.2,3.8,4.0,3.0,3.8,18.9,0.69,6.7%
Ndiaye,MID,6.5,75,4.1,4.1,3.9,3.8,2.9,18.8,0.58,13.2%
Gordon,MID,7.5,80,3.2,3.8,4.6,3.8,3.3,18.7,0.50,1.9%
Joelinton,MID,6.0,90,3.7,3.6,3.8,4.1,3.5,18.7,0.62,0.5%
Solanke,FWD,7.5,43,3.2,2.7,4.7,4.3,3.8,18.7,0.50,6.4%
Gabriel,DEF,6.0,86,3.8,4.6,2.7,4.2,3.3,18.7,0.62,20.1%
Ekitiké,FWD,8.5,62,4.2,3.5,3.4,3.9,3.6,18.7,0.44,12.1%
Murillo,DEF,5.5,88,4.2,3.5,4.2,2.7,4.0,18.6,0.68,5.6%
Mac Allister,MID,6.5,70,3.7,3.6,3.4,4.0,3.9,18.5,0.57,1.5%
Muñoz,DEF,5.5,89,2.7,4.2,2.9,5.1,3.5,18.5,0.67,9.2%
Rogers,MID,7.0,70,2.8,3.6,4.1,3.7,4.3,18.4,0.53,13.5%
Pedro Porro,DEF,5.5,83,5.2,2.4,4.2,3.5,3.2,18.4,0.67,14.2%
Iwobi,MID,6.5,85,3.5,3.9,3.1,3.9,3.8,18.3,0.56,1.6%
Raya,GK,5.5,91,3.7,4.1,3.0,4.0,3.5,18.2,0.66,17.3%
Damsgaard,MID,6.0,86,3.8,3.8,3.9,3.4,3.4,18.2,0.61,1.2%
Bruno G.,MID,6.5,89,3.6,3.4,3.6,4.0,3.5,18.1,0.56,1.6%
Kudus,MID,6.5,71,4.7,3.0,3.9,3.4,3.2,18.0,0.55,23.7%
A.Becker,GK,5.5,94,4.0,3.3,3.2,3.8,3.6,17.9,0.65,11.0%
Konaté,DEF,5.5,85,4.1,3.2,2.9,3.8,3.8,17.8,0.65,2.9%
Andersen,DEF,4.5,92,3.4,3.9,2.9,3.9,3.6,17.7,0.79,1.9%
Lacroix,DEF,5.0,91,2.9,4.0,2.9,4.4,3.4,17.7,0.71,1.1%
J.Arias,MID,5.5,76,3.3,3.5,3.7,3.1,4.0,17.7,0.64,1.0%
Sánchez,GK,5.0,92,3.7,3.5,3.6,3.5,3.3,17.6,0.71,20.3%
Tarkowski,DEF,5.5,92,3.9,3.8,3.8,3.5,2.5,17.6,0.64,6.7%
Neto,MID,7.0,73,4.0,3.5,3.6,3.3,3.1,17.5,0.50,4.1%
Ederson M.,GK,5.5,94,3.9,3.7,3.3,3.7,2.9,17.5,0.64,3.6%
Cucurella,DEF,6.0,89,3.9,3.5,4.0,3.0,3.0,17.5,0.58,18.9%
Saliba,DEF,6.0,90,3.6,4.3,2.5,4.0,3.0,17.4,0.58,13.5%
Minteh,MID,6.0,77,4.1,3.4,3.2,3.2,3.4,17.3,0.58,1.4%
João Pedro,FWD,7.5,71,3.9,3.2,3.7,3.4,3.1,17.3,0.46,54.8%
Caicedo,MID,5.5,90,3.7,3.5,3.6,3.3,3.2,17.2,0.63,6.2%
N.Williams,DEF,5.0,88,4.0,3.3,4.0,2.3,3.5,17.1,0.69,8.4%
Milenković,DEF,5.5,90,3.9,3.3,3.9,2.4,3.7,17.1,0.62,9.8%
Cunha,MID,8.0,74,3.2,3.2,4.3,2.9,3.4,17.1,0.43,9.2%
Wilson,MID,5.5,71,3.5,3.8,2.8,3.6,3.2,17.0,0.62,1.2%
Mbeumo,MID,8.0,77,3.4,3.5,3.8,2.7,3.4,16.9,0.42,15.8%
Sels,GK,5.0,94,3.6,3.2,3.6,2.8,3.6,16.9,0.67,20.2%
Richards,DEF,4.5,88,2.7,3.8,2.8,4.4,3.1,16.8,0.75,1.6%
Vicario,GK,5.0,92,4.0,2.9,3.5,3.3,3.1,16.8,0.67,3.6%
Pickford,GK,5.5,93,3.5,3.5,3.5,3.4,2.8,16.7,0.61,12.0%
Szoboszlai,MID,6.5,67,4.1,2.9,2.8,3.3,3.5,16.6,0.51,2.0%
Branthwaite,DEF,5.5,90,3.7,3.6,3.7,3.2,2.4,16.6,0.60,1.9%
Guéhi,DEF,4.5,92,2.6,3.8,2.6,4.4,3.1,16.6,0.74,13.4%
Leno,GK,5.0,92,3.1,3.5,2.9,3.6,3.4,16.4,0.66,1.7%
Collins,DEF,5.0,91,3.4,3.1,3.9,2.9,3.1,16.4,0.65,1.9%
Reijnders,MID,5.5,77,3.7,3.5,3.1,3.4,2.7,16.4,0.59,12.3%
Petrović,GK,4.5,94,2.8,3.8,3.2,3.4,3.2,16.3,0.73,3.7%
Tonali,MID,5.5,88,3.2,3.2,3.4,3.5,3.0,16.3,0.59,2.1%
Wan-Bissaka,DEF,4.5,92,4.1,2.8,2.9,3.2,3.3,16.3,0.72,29.2%
Verbruggen,GK,4.5,93,3.6,3.3,3.0,3.1,3.3,16.3,0.72,7.9%
Füllkrug,FWD,6.0,75,4.0,3.3,2.9,3.1,3.0,16.2,0.54,3.2%
Romero,DEF,5.0,89,4.4,2.3,3.6,3.2,2.8,16.2,0.65,2.1%
Schär,DEF,5.5,86,3.2,3.0,3.5,3.6,2.8,16.2,0.59,2.4%
Gomes,MID,5.5,86,3.1,3.3,3.3,3.1,3.4,16.1,0.59,0.1%
Aït-Nouri,DEF,6.0,74,4.1,3.5,2.9,3.4,2.2,16.1,0.54,21.5%
Konsa,DEF,4.5,90,3.2,3.0,3.4,3.0,3.6,16.1,0.72,24.3%
Anthony,MID,5.5,73,3.0,4.0,3.0,2.8,3.1,16.0,0.58,0.1%
Baleba,MID,5.0,88,3.6,3.1,3.0,3.1,3.2,15.9,0.64,5.1%
Gana,MID,5.5,89,3.5,3.2,3.3,3.0,2.8,15.9,0.58,0.1%
Adingra,MID,5.5,80,3.6,3.3,3.4,2.8,2.8,15.8,0.58,2.0%
Kilman,DEF,4.5,86,3.8,2.8,3.0,3.0,3.1,15.8,0.70,0.4%
Malen,MID,5.5,66,3.9,3.2,3.0,2.6,3.1,15.8,0.58,2.7%
Henderson,GK,5.0,89,2.8,3.5,2.8,3.7,3.0,15.8,0.63,6.0%
José Sá,GK,4.5,93,3.0,3.0,3.4,2.9,3.5,15.8,0.70,2.3%
Van den Berg,DEF,4.5,90,3.2,3.0,3.8,2.8,3.0,15.7,0.70,0.4%
Roefs,GK,4.5,91,3.2,3.3,3.2,2.9,3.0,15.6,0.69,0.2%
Perri,GK,4.5,90,3.5,2.7,3.1,3.1,3.2,15.6,0.69,0.3%
Cash,DEF,4.5,81,3.2,2.8,3.1,2.8,3.7,15.6,0.69,1.8%
Kelleher,GK,4.5,94,2.4,3.2,3.6,3.0,3.2,15.4,0.69,19.3%
Estève,DEF,4.0,92,2.8,4.2,2.8,2.4,3.3,15.3,0.77,17.4%
Senesi,DEF,4.5,84,2.3,3.8,2.9,3.2,3.1,15.3,0.68,0.6%
Tavernier,MID,5.5,67,2.7,3.7,2.8,3.1,3.1,15.3,0.56,0.4%
Pope,GK,5.0,88,3.0,2.8,3.3,3.4,2.8,15.2,0.61,3.6%
Agbadou,DEF,4.5,89,2.6,3.1,3.5,2.6,3.4,15.2,0.68,0.3%
Wharton,MID,5.0,76,3.0,3.1,2.7,3.3,3.0,15.1,0.61,0.6%
Welbeck,FWD,6.5,44,2.9,2.9,2.9,3.0,3.4,15.1,0.47,5.8%
Aina,DEF,5.0,90,3.6,2.8,3.5,1.9,3.3,15.1,0.60,16.7%
Zubimendi,MID,5.5,79,3.1,3.3,2.6,3.0,2.9,15.0,0.54,2.1%
Hudson-Odoi,MID,6.0,74,3.5,2.8,3.3,2.4,3.0,14.9,0.50,1.5%
Hall,DEF,5.5,68,2.2,2.5,3.4,4.0,2.8,14.9,0.54,2.4%
Barnes,MID,6.5,64,3.3,3.1,3.5,2.7,2.3,14.9,0.46,0.6%
Šeško,FWD,7.5,49,2.3,2.9,3.8,2.7,3.2,14.9,0.40,5.1%
Mitchell,DEF,5.0,75,2.2,3.5,2.4,4.0,2.8,14.9,0.59,1.2%
Gvardiol,DEF,6.0,49,2.4,3.2,3.2,3.7,2.5,14.8,0.49,16.8%
Dewsbury-Hall,MID,5.0,70,3.2,3.3,2.9,2.9,2.5,14.8,0.59,3.1%
Van Hecke,DEF,4.5,91,3.6,2.9,2.4,2.9,2.9,14.8,0.66,1.3%
Onana,GK,5.0,94,1.6,3.1,3.8,2.9,3.3,14.7,0.59,0.1%
Dorgu,DEF,4.5,84,2.7,3.1,4.1,2.0,2.8,14.7,0.65,6.4%
Elanga,MID,7.0,62,3.0,2.9,3.4,3.0,2.4,14.7,0.42,9.2%
Carvalho,MID,5.0,60,3.0,3.0,3.3,2.8,2.5,14.6,0.58,0.3%
Kerkez,DEF,6.0,68,3.3,2.4,2.3,3.3,3.2,14.5,0.48,8.2%
James,DEF,5.5,68,3.4,3.0,3.3,2.7,2.2,14.5,0.53,4.9%
Rúben,DEF,5.5,78,3.4,3.3,2.8,3.1,1.9,14.5,0.53,2.7%
Kluivert,MID,7.0,38,1.0,3.3,3.1,3.5,3.7,14.5,0.41,2.7%
Lukić,MID,5.0,83,3.0,3.2,2.6,3.0,2.8,14.5,0.58,0.1%
Xhaka,MID,5.0,89,3.1,3.0,2.9,2.7,2.8,14.5,0.58,2.6%
Kamara,MID,5.0,85,3.1,2.8,2.9,2.7,2.9,14.4,0.58,0.2%
Truffert,DEF,4.5,93,1.9,3.9,2.5,3.1,3.0,14.4,0.64,1.0%
O'Brien,DEF,5.0,88,3.2,3.2,3.1,2.9,1.8,14.3,0.57,0.5%
Bassey,DEF,4.5,90,2.7,3.2,2.2,3.3,3.0,14.3,0.64,0.5%
Stach,MID,5.0,77,3.1,2.6,2.9,2.8,3.0,14.3,0.57,0.3%
Bernardo,MID,6.5,71,3.4,3.2,2.8,3.0,2.0,14.3,0.44,0.7%
Bentancur,MID,5.5,78,3.4,2.5,3.0,2.7,2.7,14.3,0.52,0.1%
André,MID,5.5,84,2.8,3.0,3.0,2.7,2.8,14.3,0.52,0.1%
Tel,MID,6.5,55,3.9,2.2,3.2,2.6,2.4,14.2,0.44,0.2%
Diouf,DEF,4.5,70,3.6,2.6,2.6,2.7,2.7,14.2,0.63,6.1%
James,MID,5.5,67,3.3,2.3,3.0,2.7,2.9,14.1,0.51,0.6%
Martinez,GK,5.0,0,0.0,3.4,3.6,3.4,3.7,14.1,0.56,0.5%
Van de Ven,DEF,4.5,85,3.9,1.9,3.1,2.7,2.4,14.1,0.62,22.4%
Grealish,MID,6.5,57,2.7,2.9,3.0,3.0,2.4,14.0,0.43,2.1%
Cullen,MID,5.0,89,2.8,3.0,2.7,2.6,2.8,14.0,0.56,0.1%
Dúbravka,GK,4.0,53,1.3,3.8,2.9,2.6,3.3,13.9,0.70,28.4%
De Ligt,DEF,5.0,83,2.5,2.9,3.7,2.1,2.6,13.9,0.56,1.3%
Ward-Prowse,MID,6.0,63,3.0,2.8,2.6,2.8,2.8,13.9,0.46,0.4%
Todibo,DEF,4.5,78,3.3,2.5,2.6,2.7,2.7,13.8,0.61,0.1%
Raúl,FWD,6.5,52,2.7,2.9,2.3,2.9,3.0,13.8,0.42,2.3%
Muniz,FWD,5.5,57,2.8,2.7,2.3,3.0,2.9,13.7,0.50,2.2%
Edwards,MID,5.0,63,2.6,3.6,2.6,2.3,2.6,13.7,0.55,0.1%
Ndoye,MID,6.0,58,2.9,2.6,3.1,2.2,2.8,13.6,0.45,0.3%
N.Aguerd,DEF,4.5,72,3.2,2.5,2.5,2.7,2.6,13.5,0.60,0.1%
Diakité,DEF,4.5,47,1.1,3.8,2.6,3.1,2.9,13.5,0.60,0.0%
Toti,DEF,4.5,91,2.3,2.6,3.1,2.2,3.2,13.5,0.60,0.2%
Lewis-Skelly,DEF,5.5,72,3.0,3.5,1.8,2.9,2.3,13.4,0.49,4.7%
Lewis-Potter,DEF,5.0,63,2.6,2.7,3.4,2.3,2.3,13.4,0.54,0.5%
Pau,DEF,4.5,79,2.8,2.4,2.6,2.4,3.1,13.4,0.60,0.5%
E.Le Fée,MID,5.0,66,2.9,2.6,2.9,2.6,2.5,13.4,0.54,0.6%
Garner,MID,5.0,73,2.8,2.8,2.8,2.8,2.2,13.4,0.54,0.1%
P.M.Sarr,MID,5.0,63,3.2,2.3,2.8,2.7,2.3,13.4,0.53,2.2%
McGinn,MID,5.5,57,2.8,2.5,2.8,2.4,2.8,13.3,0.49,0.7%
Rodon,DEF,4.0,92,3.3,2.0,2.6,2.7,2.8,13.3,0.67,1.7%
Mykolenko,DEF,5.0,61,1.8,3.4,3.2,3.0,1.9,13.3,0.53,2.3%
Hume,DEF,4.5,90,3.1,2.9,2.7,2.2,2.3,13.3,0.59,0.2%
Tete,DEF,4.5,74,2.6,2.9,2.0,3.1,2.7,13.2,0.59,0.2%
De Cuyper,DEF,4.5,74,3.4,2.6,2.2,2.5,2.6,13.2,0.59,7.2%
Ballard,DEF,4.5,89,3.1,3.1,2.9,2.0,2.0,13.2,0.59,0.2%
Gudmundsson,DEF,4.0,85,3.4,1.7,2.7,2.5,2.7,13.0,0.65,2.6%
Hannibal,MID,5.0,73,2.6,3.1,2.3,2.2,2.6,12.9,0.52,0.2%
Flemming,FWD,5.5,52,2.4,3.3,2.4,2.3,2.6,12.9,0.47,0.2%
Livramento,DEF,5.0,76,2.4,2.2,2.7,3.2,2.4,12.8,0.51,4.0%
Barry,FWD,6.0,51,2.6,2.9,2.6,2.6,2.1,12.8,0.43,0.9%
Guessand,MID,6.5,39,2.4,2.3,2.8,2.3,3.1,12.8,0.39,0.1%
Bogle,DEF,4.5,90,2.8,1.8,2.7,2.5,2.9,12.6,0.56,0.4%
Diarra,MID,5.5,71,2.8,2.5,2.6,2.4,2.3,12.6,0.46,0.1%
Hermansen,GK,4.5,46,1.8,2.2,2.9,2.7,2.9,12.5,0.55,0.2%
Foden,MID,8.0,30,1.6,2.8,2.9,3.1,2.1,12.4,0.31,1.9%
Martinelli,MID,7.0,58,3.3,3.0,1.8,2.3,2.0,12.4,0.35,1.5%
Yoro,DEF,4.5,75,2.2,2.6,3.3,1.9,2.3,12.4,0.55,1.4%
Christie,MID,5.0,58,1.7,3.1,2.5,2.5,2.6,12.3,0.49,0.3%
J.Palhinha,MID,5.5,72,2.8,2.2,2.7,2.5,2.2,12.3,0.45,0.3%
Walker,DEF,4.5,87,2.1,3.6,2.0,1.7,2.7,12.3,0.54,2.0%
Talbi,MID,5.0,63,2.8,2.5,2.5,2.1,2.3,12.2,0.49,0.2%
Amad,MID,6.5,57,2.4,2.4,2.9,2.1,2.3,12.1,0.37,3.4%
Gravenberch,MID,5.5,0,0.0,3.1,2.8,3.1,3.0,12.0,0.44,0.1%
Richarlison,FWD,6.5,53,3.5,2.1,2.2,2.2,2.1,12.0,0.37,1.1%
Doherty,DEF,4.5,73,2.1,2.3,2.8,2.0,2.8,11.9,0.53,0.2%
Beto,FWD,5.5,44,2.5,2.4,2.4,2.5,2.2,11.9,0.43,11.0%
Reinildo,DEF,4.0,80,2.7,2.7,2.5,2.0,2.0,11.9,0.59,7.5%
Yarmoliuk,MID,5.0,64,2.5,2.4,2.4,2.2,2.2,11.7,0.47,0.1%
Henry,DEF,4.5,73,2.4,2.4,2.8,2.0,2.0,11.7,0.52,0.2%
Mayenda,FWD,5.5,60,2.9,2.5,2.3,1.9,2.0,11.6,0.42,0.3%
J.Ramsey,MID,5.5,46,2.4,2.3,2.4,1.9,2.5,11.6,0.42,0.6%
Tosin,DEF,4.5,68,3.0,2.6,2.5,1.6,1.8,11.6,0.51,0.8%
Hartman,DEF,4.0,75,2.1,3.5,2.0,1.6,2.4,11.6,0.58,0.5%
Alcaraz,MID,5.5,46,2.4,2.4,2.3,2.4,2.1,11.5,0.42,0.2%
Gnonto,MID,5.5,54,2.7,1.8,2.4,2.3,2.3,11.5,0.42,0.5%
Piroe,FWD,5.5,62,3.1,2.0,2.3,2.0,1.9,11.4,0.41,2.6%
White,DEF,5.5,59,2.6,2.7,1.6,2.8,1.7,11.4,0.41,0.8%
Ugochukwu,MID,5.0,70,1.7,2.7,2.3,2.2,2.3,11.3,0.45,0.0%
Munetsi,MID,5.5,45,1.8,2.1,2.4,2.2,2.7,11.2,0.41,0.1%
Gündoğan,MID,6.5,59,2.9,2.6,2.3,1.8,1.6,11.2,0.34,0.2%
N.Jackson,FWD,6.5,0,0.0,2.7,3.1,2.8,2.5,11.2,0.34,0.1%
Johnson,MID,7.0,37,2.5,1.8,2.4,2.5,2.0,11.1,0.32,4.1%
Hoever,DEF,4.0,55,1.8,2.2,2.6,1.8,2.7,11.1,0.56,2.6%
Berge,MID,5.0,62,2.1,2.4,2.1,2.3,2.2,11.1,0.44,0.1%
Alderete,DEF,4.0,41,1.7,2.4,3.1,2.2,1.6,11.1,0.55,0.0%
Kayode,DEF,4.5,63,2.3,2.3,2.6,1.9,1.9,11.1,0.49,0.2%
Chalobah,DEF,5.0,64,2.8,2.4,2.4,1.7,1.7,11.0,0.44,1.0%
Ekdal,DEF,4.0,86,2.7,3.3,2.0,1.4,1.5,11.0,0.55,0.2%
J.Murphy,MID,6.5,53,2.4,2.2,2.4,2.0,1.9,10.9,0.34,2.9%
Andreas,MID,5.5,37,1.9,2.3,2.0,2.4,2.4,10.9,0.40,0.4%
Adams,MID,5.0,84,2.9,3.1,1.5,1.7,1.6,10.9,0.44,0.2%
Fofana,DEF,4.5,37,1.5,1.6,2.6,2.5,2.6,10.8,0.48,0.3%
Longstaff,MID,5.0,62,2.4,2.0,2.2,2.1,2.1,10.8,0.43,0.2%
Henderson,MID,5.0,51,2.0,2.3,2.4,2.1,2.0,10.8,0.43,0.3%
Dunk,DEF,4.5,69,2.8,2.1,1.7,1.9,2.1,10.8,0.48,1.2%
Digne,DEF,4.5,44,2.0,2.1,2.3,1.9,2.4,10.7,0.48,1.9%
Doku,MID,6.5,44,2.4,2.4,1.9,2.2,1.6,10.6,0.32,1.1%
Gittens,MID,6.5,40,2.5,2.0,2.1,1.8,2.1,10.6,0.32,0.3%
Maatsen,DEF,4.5,46,2.0,1.8,2.3,2.0,2.4,10.5,0.47,0.9%
Cherki,MID,6.5,38,2.4,2.5,1.9,2.1,1.5,10.5,0.32,7.7%
J.Timber,DEF,5.5,44,1.8,2.4,1.5,2.5,2.2,10.5,0.38,2.3%
McNeil,MID,6.0,46,2.3,2.3,2.0,2.1,1.9,10.4,0.35,0.6%
Jensen,MID,5.0,56,2.3,2.2,2.3,1.8,1.8,10.4,0.42,0.1%
Dominic Calvert-Lewin,FWD,99.9,23,1.5,1.3,2.2,2.6,2.8,10.4,0.02,0.0%
Broja,FWD,5.5,42,1.5,2.4,2.0,2.0,2.4,10.4,0.38,0.0%
Isak,FWD,10.5,0,0.0,0.0,0.0,5.7,4.6,10.4,0.20,17.1%
Sangaré,MID,5.0,53,2.2,2.0,2.2,1.9,2.1,10.3,0.41,0.1%
Yates,MID,5.0,48,2.1,1.9,2.1,1.9,2.3,10.3,0.41,0.2%
Tanaka,MID,5.0,65,2.3,1.9,2.1,2.0,2.0,10.3,0.41,0.3%
Smith,DEF,4.5,71,1.4,2.7,1.9,2.2,2.0,10.3,0.46,0.2%
Sessegnon,MID,5.5,56,1.8,2.7,2.1,1.8,1.8,10.2,0.37,0.1%
Møller Wolfe,DEF,4.5,65,1.7,1.9,2.5,1.7,2.4,10.2,0.45,0.0%
Bergvall,MID,5.5,44,2.3,1.8,2.3,2.0,1.8,10.2,0.37,0.2%
Ampadu,MID,5.0,65,2.2,1.9,2.0,2.0,2.0,10.1,0.40,0.1%
Souček,MID,6.0,40,2.0,1.9,1.9,2.0,2.2,10.0,0.33,1.0%
Dalot,DEF,4.5,63,1.8,2.0,2.9,1.4,1.8,10.0,0.44,2.5%
Ayari,MID,5.0,43,2.1,1.7,1.9,2.1,2.2,10.0,0.40,0.2%
