Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Gray,9,9,12,15,12,19,67,2.7,0.2%
Tzimas,4,4,6,7,7,8,32,1.2,0.1%
Gruev,10,10,9,12,14,17,62,2.5,0.1%
Barkley,5,5,8,9,9,11,42,1.7,0.3%
Obi,4,4,5,9,7,10,35,1.6,4.2%
Tchaouna,5,5,7,6,9,11,38,1.5,0.1%
Nkunku,9,9,4,6,4,5,28,0.9,0.2%
Mepham,9,9,13,16,13,17,68,3.4,0.3%
Bayindir,51,51,6,3,3,4,67,2.7,0.5%
Édouard,4,4,5,7,8,5,29,1.2,1.1%
Ajer,12,12,12,11,11,15,61,2.7,0.2%
Benson,4,4,6,6,10,9,35,1.3,0.0%
Iroegbunam,8,8,12,10,11,11,52,2.1,0.1%
Buonanotte,5,5,7,5,6,6,29,1.2,0.3%
Lucas Pires,8,8,14,14,14,15,65,3.3,0.3%
Bobb,5,5,4,5,9,7,30,1.1,0.1%
Josh Bowler,3,3,6,8,7,10,34,0.1,0.0%
Heaven,8,8,12,12,11,14,57,2.9,1.9%
Janelt,0,0,0,7,23,21,51,2.0,0.2%
March,0,0,0,6,15,17,38,1.3,0.1%
Da Silva Moreira,3,3,5,9,8,8,33,1.5,0.2%
Willock,0,0,0,0,14,28,42,1.7,0.2%
Nunes,3,3,5,6,5,6,25,1.0,0.1%
Ramsdale,7,7,8,9,13,15,52,2.1,0.4%
Poveda,7,7,9,6,4,6,32,1.3,0.1%
D.Essugo,5,5,6,6,8,9,34,1.5,0.1%
Huggins,16,16,14,18,7,2,57,2.9,0.3%
Roerslev,8,8,10,11,9,10,48,2.1,0.1%
Tsimikas,5,5,5,8,6,11,35,1.4,0.1%
Emerson,9,9,10,8,7,8,42,1.9,0.2%
Mundle,0,0,0,6,15,14,35,1.4,0.1%
Fábio Silva,2,2,3,6,5,6,22,0.9,0.6%
Kalajdžić,2,2,5,5,4,6,22,0.9,0.2%
Keane,5,5,10,8,12,14,49,2.2,0.3%
A.García,5,5,7,4,6,9,31,1.6,0.9%
Watson,4,4,5,5,4,2,20,0.8,0.1%
Stamenic,3,3,7,8,10,9,37,1.6,0.1%
Bogarde,7,7,6,8,9,12,42,2.1,0.4%
McAtee,2,2,3,4,5,5,19,0.7,0.1%
M.França,0,0,0,0,9,17,26,1.2,0.1%
Y.Chermiti,1,1,3,5,6,6,21,0.8,0.2%
Bryan,3,3,3,4,5,4,19,0.8,0.1%
Pembele,8,8,12,9,10,7,46,2.3,0.3%
Cornet,2,2,4,5,5,3,19,0.8,0.1%
O.Richards,3,3,7,10,11,10,41,1.8,0.1%
Benitez,3,3,12,8,7,8,38,1.9,0.4%
Solomon,3,3,4,3,3,5,18,0.7,0.1%
Roberts,6,6,6,12,10,11,45,2.0,0.1%
Max Dowman,0,0,3,4,5,6,18,0.0,0.0%
Mosquera,6,6,8,6,7,11,38,1.4,0.1%
Andrey Santos,8,8,6,7,4,7,32,1.4,0.4%
Kovačić,0,0,0,0,13,16,29,1.0,0.0%
Soler,4,4,6,6,8,7,31,1.6,0.3%
