Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Frimpong,DEF,5.7,90,1.8,2.5,4.0,3.9,12.2,0.53,0.0%
Cullen,MID,5.0,86,3.1,3.1,3.0,2.9,12.2,0.61,0.0%
Florentino,MID,5.0,87,3.3,3.0,3.0,2.8,12.1,0.61,0.0%
Alderete,DEF,4.1,82,3.1,2.8,3.7,2.5,12.1,0.74,4.5%
Truffert,DEF,4.5,89,2.8,4.3,2.8,2.2,12.1,0.67,2.7%
Milenković,DEF,5.2,90,3.4,3.0,2.4,3.2,12.0,0.58,0.0%
Joelinton,MID,5.9,66,3.2,3.0,2.7,3.1,11.9,0.51,0.0%
J.Palhinha,MID,5.5,77,3.2,3.2,2.9,2.6,11.9,0.54,0.0%
Barry,FWD,5.7,62,2.6,2.8,3.3,3.1,11.9,0.52,0.0%
Ballard,DEF,4.6,79,3.0,2.7,3.5,2.6,11.9,0.64,0.0%
Buendía,MID,5.3,56,3.2,3.6,2.7,2.4,11.8,0.56,0.0%
Wharton,MID,5.0,78,2.9,2.9,2.9,3.0,11.8,0.59,0.0%
J.Arias,MID,5.0,65,2.5,3.7,2.8,2.9,11.8,0.59,0.0%
Mykolenko,DEF,4.9,88,2.7,2.6,3.5,3.0,11.8,0.60,0.1%
Ramsdale,GK,4.8,93,3.7,3.3,2.4,2.4,11.8,0.61,0.5%
Rodon,DEF,4.1,90,3.0,3.3,3.2,2.3,11.7,0.72,37.4%
Hincapie,DEF,5.4,89,5.3,2.6,2.0,1.8,11.7,0.54,1.3%
Ndoye,MID,5.6,69,3.4,3.0,2.5,2.8,11.7,0.52,0.0%
Ayari,MID,4.9,73,2.2,3.6,2.8,3.2,11.7,0.60,0.0%
Konsa,DEF,4.4,91,3.5,3.3,2.6,2.2,11.7,0.66,0.4%
Henderson,MID,5.0,80,3.1,3.0,3.0,2.6,11.7,0.58,0.0%
Garner,MID,5.0,85,3.2,2.6,2.9,3.0,11.6,0.58,0.1%
Isidor,FWD,5.5,57,2.8,2.8,3.3,2.7,11.6,0.53,0.2%
Van de Ven,DEF,4.7,90,3.2,2.8,2.8,2.7,11.5,0.61,0.6%
Nketiah,FWD,5.4,47,2.2,2.9,3.2,3.3,11.5,0.53,0.0%
Adams,MID,5.0,90,3.3,3.1,2.7,2.5,11.5,0.58,0.0%
Pau,DEF,4.3,90,3.5,3.2,2.5,2.3,11.5,0.67,0.0%
Sessegnon,MID,5.4,80,3.3,3.1,2.7,2.3,11.5,0.53,0.0%
Scott,MID,5.0,82,3.4,3.4,2.5,2.1,11.4,0.57,0.0%
Dunk,DEF,4.5,87,2.5,3.8,2.1,3.0,11.4,0.63,0.0%
Calafiori,DEF,5.8,0,0.0,3.7,3.9,3.8,11.3,0.49,1.0%
Kluivert,MID,7.0,47,2.4,3.7,2.8,2.4,11.3,0.40,0.1%
Lewis-Potter,DEF,4.8,58,3.6,2.7,2.6,2.4,11.3,0.59,0.0%
N.Williams,DEF,4.7,90,3.6,2.5,2.1,3.1,11.3,0.60,0.2%
Nelson,MID,4.8,43,2.4,3.2,2.9,2.8,11.3,0.59,0.0%
Reijnders,MID,5.3,59,2.7,3.1,2.6,2.8,11.3,0.53,6.7%
Mavropanos,DEF,4.4,84,3.1,2.2,3.1,2.9,11.2,0.64,0.0%
Mount,MID,5.9,40,2.1,2.6,2.8,3.6,11.1,0.47,0.0%
Šeško,FWD,7.2,55,1.4,2.4,3.5,3.7,11.1,0.38,0.0%
Mitoma,MID,6.1,50,1.2,3.8,2.5,3.6,11.1,0.45,0.0%
Wieffer,MID,4.9,79,2.7,3.0,2.6,2.9,11.1,0.56,0.1%
Johnstone,GK,4.5,94,2.5,3.2,2.6,2.8,11.1,0.61,0.0%
Hartman,DEF,4.0,87,3.3,2.3,2.9,2.6,11.0,0.69,0.1%
Anthony,MID,5.4,56,2.8,2.7,2.8,2.7,11.0,0.51,0.0%
Dorgu,DEF,4.1,40,1.8,2.7,2.8,3.7,11.0,0.67,0.1%
Ekdal,DEF,4.0,63,2.4,2.8,3.1,2.7,11.0,0.69,0.0%
Berge,MID,4.9,86,2.9,2.9,2.7,2.5,10.9,0.56,0.0%
Gudmundsson,DEF,3.9,81,2.7,3.1,3.1,2.0,10.9,0.70,4.5%
Hall,DEF,5.2,66,3.2,2.6,2.1,3.0,10.9,0.52,0.3%
Bellegarde,MID,5.2,67,2.3,3.1,2.6,2.7,10.9,0.52,0.0%
Xhaka,MID,5.2,89,3.3,2.2,2.8,2.5,10.8,0.52,0.3%
O'Brien,DEF,4.9,76,2.2,2.5,3.3,2.8,10.8,0.55,0.0%
King,MID,4.5,55,2.6,2.9,2.8,2.5,10.8,0.60,4.4%
M.Fernandes,MID,5.5,70,2.9,2.3,2.9,2.7,10.8,0.49,0.0%
Yarmoliuk,MID,5.0,67,2.8,2.8,2.6,2.5,10.7,0.53,0.0%
Merino,MID,6.0,63,4.2,2.4,1.9,2.1,10.7,0.44,0.0%
Kamara,MID,4.9,83,3.0,2.6,2.5,2.4,10.6,0.54,0.0%
Hume,DEF,4.5,75,2.6,2.4,3.4,2.1,10.5,0.58,0.0%
Cherki,MID,6.4,37,2.1,3.0,2.3,2.9,10.4,0.40,0.0%
Todibo,DEF,4.3,77,2.6,2.0,2.9,2.8,10.3,0.60,0.0%
Casemiro,MID,5.5,70,2.5,2.4,2.5,2.9,10.3,0.47,0.0%
Summerville,MID,5.5,50,1.2,2.5,3.3,3.2,10.3,0.47,0.0%
Struijk,DEF,4.3,84,2.7,2.8,2.8,1.9,10.2,0.60,0.0%
Shaw,DEF,4.5,74,2.7,2.1,2.4,3.0,10.2,0.57,0.2%
Barnes,MID,6.4,34,2.2,2.7,2.5,2.8,10.2,0.40,0.1%
F.Kadıoğlu,DEF,4.4,85,2.3,3.6,1.7,2.5,10.1,0.57,0.1%
André,MID,5.3,89,2.2,2.5,2.5,2.8,10.1,0.48,0.0%
Bernardo,MID,6.2,53,2.3,2.7,2.5,2.5,10.0,0.40,0.0%
Caicedo,MID,5.8,0,0.0,3.3,3.3,3.4,10.0,0.43,0.0%
Tchaouna,MID,4.9,53,2.6,2.4,2.5,2.5,10.0,0.51,0.0%
Richarlison,FWD,6.4,51,2.7,2.8,2.3,2.2,10.0,0.39,0.0%
Kolo Muani,FWD,6.9,53,2.6,2.7,2.3,2.2,9.9,0.36,0.0%
Gabriel,DEF,6.3,0,0.0,1.9,3.8,4.2,9.9,0.39,0.3%
Ampadu,MID,4.9,84,3.0,2.4,2.2,2.2,9.8,0.50,0.0%
Xavi,MID,6.5,54,2.8,2.6,2.0,2.3,9.7,0.37,0.0%
Bentancur,MID,5.3,58,2.3,2.5,2.4,2.4,9.6,0.45,0.0%
Alcaraz,MID,5.2,23,1.1,2.6,3.1,2.8,9.6,0.46,0.0%
Bogle,DEF,4.4,87,2.8,2.5,2.6,1.8,9.6,0.54,0.0%
Brobbey,FWD,5.5,40,2.0,2.4,2.9,2.4,9.5,0.43,0.0%
Potts,MID,4.4,71,2.5,2.3,2.3,2.5,9.5,0.54,0.6%
Martinez,DEF,4.8,51,2.0,1.8,2.4,3.3,9.5,0.49,0.0%
Hickey,DEF,4.0,58,2.7,2.4,2.2,2.2,9.5,0.59,0.0%
Wilson,FWD,5.8,54,2.6,2.0,2.6,2.2,9.4,0.41,0.0%
Malen,MID,5.1,41,2.6,2.8,2.1,2.0,9.4,0.46,0.2%
Tanaka,MID,4.8,68,2.5,2.7,2.3,1.9,9.4,0.49,0.0%
Gomez,MID,4.9,51,2.1,2.7,2.1,2.5,9.4,0.48,0.0%
Zirkzee,FWD,5.8,37,2.1,2.2,2.4,2.7,9.4,0.40,0.0%
Lukić,MID,5.0,48,2.1,2.6,2.4,2.2,9.3,0.47,0.0%
Trossard,MID,6.9,38,2.5,2.2,2.5,2.0,9.2,0.33,0.0%
Botman,DEF,4.9,70,1.4,2.0,2.6,3.1,9.2,0.47,0.0%
Kerkez,DEF,5.6,51,2.2,1.8,2.9,2.3,9.2,0.41,0.2%
