Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Minteh,63,3.5,2.8,2.7,3.0,3.2,15.3,0.51,1.2%
Szoboszlai,67,4.1,2.7,2.6,3.0,2.8,15.3,0.47,1.8%
Kilman,92,3.8,2.7,2.9,2.8,3.0,15.2,0.68,0.4%
Aina,89,3.5,2.8,3.6,2.0,3.3,15.2,0.61,17.8%
Senesi,86,2.3,3.9,2.7,3.2,3.1,15.2,0.68,0.7%
Tavernier,64,2.6,3.6,2.9,3.1,3.0,15.2,0.55,0.4%
Ekitiké,43,3.2,2.8,2.7,3.4,3.0,15.2,0.36,5.0%
Gvardiol,67,3.4,3.4,2.9,3.3,2.1,15.2,0.51,17.3%
Cullen,91,3.0,3.3,2.9,2.8,3.0,15.1,0.60,0.1%
Piroe,69,3.5,2.6,3.1,2.8,3.0,15.1,0.55,3.5%
Lewis-Skelly,77,3.0,4.0,2.1,3.5,2.5,15.1,0.55,5.6%
Todibo,89,3.7,2.6,2.8,2.9,3.0,15.0,0.67,0.1%
Zabarnyi,90,2.2,3.8,2.7,3.3,2.9,15.0,0.60,0.5%
Mykolenko,89,3.4,3.3,3.4,3.0,1.9,15.0,0.60,4.5%
Xhaka,87,3.2,3.1,3.1,2.8,2.8,15.0,0.60,2.1%
Garner,83,3.2,3.1,3.2,3.0,2.5,15.0,0.60,0.1%
Onana,88,1.5,3.2,4.0,2.9,3.3,14.9,0.60,0.1%
Roefs,88,3.2,3.2,3.1,2.7,2.7,14.9,0.66,0.1%
Flemming,71,2.9,3.8,2.6,2.6,3.0,14.8,0.54,0.2%
Truffert,88,1.9,4.1,2.6,3.2,3.0,14.8,0.66,1.3%
James,66,3.3,2.4,3.1,2.8,3.1,14.8,0.54,0.9%
João Pedro,69,3.9,2.8,3.0,2.7,2.4,14.8,0.39,52.5%
Muniz,63,3.1,3.1,2.5,3.0,3.0,14.7,0.54,2.5%
Ndoye,63,3.2,2.7,3.5,2.2,3.0,14.7,0.49,0.3%
Kerkez,69,3.4,2.4,2.4,3.5,2.9,14.6,0.49,10.7%
Füllkrug,60,3.2,2.8,2.8,3.1,2.8,14.6,0.49,1.9%
Foden,45,3.0,3.2,3.1,3.0,2.3,14.6,0.37,3.2%
Pope,83,2.8,2.7,3.0,3.3,2.9,14.6,0.58,3.9%
Fofana,76,3.2,3.0,3.1,2.6,2.6,14.5,0.64,0.3%
J.Ramsey,61,3.0,2.8,2.9,2.7,3.1,14.5,0.53,0.6%
Rúben,74,3.3,3.1,2.9,3.0,2.1,14.4,0.52,2.4%
Kamara,83,2.9,2.9,2.9,2.6,3.0,14.3,0.57,0.2%
Carvalho,57,2.8,2.8,3.1,2.8,2.8,14.3,0.57,0.3%
Agbadou,91,2.4,2.9,3.2,2.3,3.4,14.3,0.63,0.4%
E.Le Fée,70,3.1,3.0,3.0,2.5,2.6,14.3,0.57,1.2%
Bassey,90,2.7,2.9,2.3,3.4,2.9,14.2,0.63,0.4%
Souček,71,3.2,2.8,2.8,2.7,2.8,14.2,0.47,0.9%
Van Hecke,87,3.4,3.0,2.2,2.8,2.8,14.2,0.63,1.2%
Lukić,80,2.8,2.9,2.7,3.0,2.8,14.2,0.57,0.1%
De Cuyper,67,3.4,2.8,2.3,2.7,2.9,14.2,0.63,8.2%
Ballard,90,3.3,3.2,2.8,2.4,2.5,14.2,0.63,0.3%
Mayenda,67,3.3,2.8,3.0,2.4,2.6,14.1,0.51,0.5%
Martinez,0,0.0,3.3,3.6,3.5,3.8,14.1,0.56,0.5%
Edwards,64,2.6,3.6,2.5,2.5,2.9,14.0,0.56,0.2%
Van de Ven,87,3.9,1.8,3.1,2.8,2.4,14.0,0.62,17.4%
Pau,73,2.6,2.6,2.9,2.8,3.2,14.0,0.62,0.4%
O'Brien,88,3.1,3.2,3.1,2.8,1.7,14.0,0.56,0.4%
De Ligt,82,2.7,2.9,3.9,1.9,2.6,14.0,0.56,1.0%
Bentancur,77,3.3,2.5,3.0,2.7,2.4,13.9,0.51,0.1%
Wharton,68,2.7,2.8,2.6,3.1,2.7,13.9,0.56,0.5%
André,87,2.8,2.9,2.7,2.6,2.9,13.9,0.50,0.1%
Bogle,86,3.6,1.9,2.8,2.6,2.9,13.8,0.61,0.7%
Havertz,57,2.9,3.4,2.3,2.9,2.2,13.8,0.37,1.4%
Lewis-Potter,78,2.7,2.8,3.4,2.4,2.4,13.7,0.55,0.5%
Burn,76,2.6,2.4,2.8,3.3,2.6,13.7,0.55,3.2%
Trossard,46,2.7,3.4,2.1,2.9,2.4,13.5,0.39,1.5%
Henderson,75,3.0,2.9,2.8,2.5,2.3,13.5,0.54,0.4%
Elanga,55,2.7,2.4,2.7,3.2,2.6,13.5,0.39,9.8%
Rodon,89,3.3,2.1,2.6,2.6,2.8,13.5,0.67,1.8%
N.Jackson,0,0.0,3.4,3.7,3.3,3.1,13.5,0.41,0.1%
Zubimendi,60,2.3,2.9,2.4,3.0,2.7,13.4,0.49,1.7%
Raúl,34,1.9,2.6,2.2,3.4,3.2,13.3,0.41,2.4%
Toti,89,2.2,2.7,3.1,2.2,3.1,13.3,0.59,0.2%
Ward-Prowse,60,2.9,2.5,2.5,2.8,2.7,13.3,0.44,0.4%
Hume,87,3.1,3.0,2.8,2.2,2.2,13.3,0.59,0.3%
Tete,68,2.6,3.0,2.0,2.7,2.8,13.2,0.59,0.2%
Stach,73,3.0,2.4,2.5,2.5,2.7,13.1,0.52,0.1%
Gudmundsson,82,3.4,1.8,2.6,2.4,2.8,13.0,0.65,2.0%
Reinildo,89,3.0,2.9,2.7,2.1,2.3,13.0,0.65,8.3%
Beto,53,2.8,2.8,2.6,2.7,2.0,13.0,0.47,13.9%
Bernardo,57,2.7,2.9,2.6,2.8,2.0,12.9,0.40,0.6%
Livramento,73,2.4,2.1,2.7,3.2,2.6,12.9,0.52,4.3%
James,55,2.9,2.7,3.0,2.1,2.2,12.9,0.47,4.6%
Dalot,71,2.2,2.6,3.8,1.6,2.6,12.8,0.57,2.7%
Mazraoui,70,2.5,2.7,3.3,1.8,2.3,12.6,0.50,1.1%
Bellegarde,53,2.3,2.5,2.7,2.4,2.6,12.5,0.46,0.1%
Odobert,48,3.0,2.0,2.7,2.6,2.3,12.5,0.46,0.1%
Sangaré,63,2.5,2.6,2.6,2.2,2.6,12.4,0.50,0.1%
McGinn,47,2.4,2.3,2.5,2.4,2.9,12.4,0.45,0.6%
Gravenberch,0,0.0,3.0,3.0,3.2,3.2,12.4,0.45,0.1%
Doherty,72,1.9,2.4,2.9,2.0,3.1,12.3,0.54,0.2%
Andreas,43,2.1,2.4,2.0,3.0,2.7,12.2,0.44,0.5%
Gnonto,54,2.7,2.1,2.5,2.3,2.5,12.1,0.44,0.7%
Amad,51,2.2,2.5,2.9,2.0,2.5,12.1,0.37,3.7%
Smith Rowe,45,2.1,2.6,2.1,2.5,2.7,12.0,0.40,1.2%
Barry,48,2.4,2.6,2.4,2.5,2.1,12.0,0.40,1.2%
White,66,2.7,3.1,1.6,2.6,1.9,12.0,0.44,0.9%
Bergvall,51,2.5,2.0,2.7,2.6,2.2,11.9,0.43,0.2%
Weiss,69,2.3,2.7,2.3,2.2,2.4,11.9,0.53,0.2%
Hannibal,65,2.3,2.8,2.2,2.1,2.4,11.8,0.47,0.2%
Roberts,52,2.6,2.5,2.4,2.0,2.2,11.8,0.43,0.1%
Yarmoliuk,63,2.5,2.4,2.5,2.2,2.1,11.8,0.47,0.1%
Walker,85,2.1,3.5,2.0,1.7,2.5,11.7,0.52,2.2%
Kayode,76,2.6,2.3,2.9,1.9,1.9,11.6,0.52,0.3%
Martinelli,43,2.5,2.6,1.9,2.5,2.1,11.6,0.33,1.4%
Berge,71,2.4,2.4,2.1,2.3,2.4,11.6,0.46,0.1%
Barnes,39,2.1,2.2,2.5,2.6,2.1,11.5,0.35,0.5%
Diarra,60,2.4,2.3,2.5,2.1,2.2,11.5,0.42,0.1%
Longstaff,62,2.4,2.0,2.4,2.2,2.3,11.4,0.46,0.3%
Johnson,36,2.4,1.8,2.5,2.3,2.2,11.3,0.32,3.5%
Adams,86,2.9,3.2,2.0,1.6,1.5,11.2,0.45,0.2%
R.Gomes,56,1.8,2.2,2.6,1.9,2.7,11.2,0.50,0.1%
Digne,43,1.9,2.1,2.5,2.0,2.6,11.1,0.49,1.7%
Tuanzebe,78,2.2,3.0,1.9,1.7,2.2,11.0,0.55,3.6%
Hartman,69,1.9,3.3,1.8,1.5,2.3,10.9,0.55,0.4%
Scott,70,2.5,3.3,1.6,1.7,1.8,10.9,0.44,0.1%
Diouf,59,3.1,2.0,2.0,1.9,1.9,10.9,0.48,2.8%
Walker-Peters,61,2.5,1.8,2.1,2.2,2.1,10.8,0.48,0.5%
Tanaka,65,2.4,2.0,2.1,2.1,2.0,10.7,0.43,0.4%
Boscagli,55,2.3,2.3,1.8,2.2,2.0,10.6,0.47,0.2%
Yoro,56,1.8,2.3,3.0,1.6,1.9,10.6,0.47,1.1%
Maatsen,47,2.1,1.9,2.2,2.0,2.4,10.5,0.47,0.9%
Gittens,39,2.4,2.0,2.1,1.9,2.1,10.5,0.32,0.3%
Mainoo,52,2.0,2.2,2.4,2.0,1.9,10.5,0.42,1.0%
Bruun Larsen,49,2.1,2.6,1.9,1.7,2.0,10.4,0.38,0.1%
Mavropanos,41,1.9,1.8,2.1,2.1,2.2,10.2,0.45,0.1%
Højlund,33,1.7,1.9,2.5,2.0,2.2,10.2,0.31,1.1%
Talbi,45,2.2,2.1,2.1,1.8,1.8,10.1,0.40,0.2%
Smith,65,1.3,2.7,1.8,2.2,2.0,10.0,0.45,0.2%
Ampadu,63,2.2,1.7,2.0,2.0,2.2,10.0,0.40,0.1%
Dunk,61,2.4,2.1,1.5,1.8,2.1,9.9,0.44,1.0%
Wilson,34,2.2,1.8,2.0,2.0,1.9,9.9,0.33,0.1%
Ugarte,52,1.9,2.0,2.2,1.8,2.0,9.9,0.40,0.2%
J.Arias,36,1.5,2.0,2.3,1.8,2.2,9.8,0.36,1.1%
Udogie,52,2.6,1.3,2.1,2.0,1.6,9.7,0.43,8.0%
Gündoğan,42,2.2,2.0,2.0,1.9,1.5,9.7,0.30,0.2%
Richarlison,33,2.2,1.6,2.0,1.9,1.9,9.6,0.30,1.0%
O.Dango,33,1.5,2.1,1.8,2.1,2.1,9.6,0.32,0.3%
Bijol,0,0.0,2.0,2.3,2.3,2.9,9.5,0.48,0.2%
Nketiah,32,1.6,1.9,1.7,2.4,1.9,9.5,0.35,1.6%
Merino,36,1.8,2.3,1.7,2.0,1.6,9.4,0.31,0.9%
Matheus N.,40,2.2,2.2,1.7,1.9,1.4,9.4,0.34,0.6%
Doku,33,2.0,1.9,2.0,1.8,1.6,9.2,0.28,1.2%
Hughes,46,1.6,1.8,1.7,2.1,1.8,9.0,0.36,0.1%
Spence,46,2.3,1.1,2.0,1.9,1.7,9.0,0.40,0.6%
C.Jones,46,2.5,1.4,1.6,1.7,1.8,8.9,0.32,0.1%
J.Timber,30,1.2,1.9,1.2,2.5,2.0,8.9,0.32,2.3%
Hinshelwood,46,1.9,1.7,1.7,1.8,1.8,8.8,0.32,0.2%
Darwin,29,2.0,1.7,1.5,1.8,1.8,8.8,0.27,1.4%
Ayari,41,1.9,1.8,1.6,1.7,1.7,8.8,0.35,0.3%
Cook,0,0.0,0.0,2.9,2.8,3.0,8.7,0.35,0.0%
Guedes,26,1.4,1.6,1.9,1.6,2.1,8.7,0.32,0.1%
Hoever,44,1.3,1.7,2.2,1.4,2.0,8.7,0.43,2.5%
F.Kadıoğlu,44,2.0,1.8,1.4,1.7,1.7,8.6,0.38,0.3%
Amdouni,40,1.7,2.4,1.5,1.4,1.6,8.6,0.34,0.4%
Mosquera,42,1.2,1.7,1.9,1.6,2.1,8.6,0.38,0.1%
J.Murphy,30,1.5,1.6,1.7,2.1,1.7,8.5,0.26,2.9%
Sadiki,43,1.8,1.8,1.7,1.6,1.6,8.5,0.34,0.1%
Lerma,40,1.5,1.9,1.5,1.9,1.7,8.5,0.34,0.1%
Maguire,44,1.5,1.8,2.3,1.3,1.5,8.5,0.38,0.6%
Adama,29,1.5,1.6,1.5,2.0,1.8,8.4,0.31,0.4%
Nmecha,30,1.8,1.5,1.7,1.7,1.7,8.4,0.34,0.8%
Yates,39,1.7,1.6,1.7,1.5,1.8,8.3,0.33,0.2%
Jensen,41,1.8,1.8,1.7,1.4,1.5,8.2,0.33,0.1%
Aaronson,27,1.5,1.4,1.9,1.6,1.6,8.1,0.29,0.1%
S.Bueno,47,1.2,1.5,2.0,1.3,2.0,8.0,0.36,0.1%
Patterson,30,1.3,1.8,1.9,1.8,1.1,8.0,0.36,0.2%
Cherki,22,1.5,1.7,1.6,1.8,1.3,7.9,0.24,9.2%
Akanji,39,1.8,1.5,1.7,1.7,1.2,7.8,0.29,0.6%
Isidor,31,1.6,1.7,1.5,1.3,1.7,7.8,0.28,0.4%
Lewis,33,1.5,1.7,1.4,1.8,1.3,7.8,0.31,0.6%
Laurent,39,1.4,1.7,1.4,1.5,1.6,7.7,0.31,0.1%
Sessegnon,22,1.1,1.7,1.4,1.6,1.8,7.6,0.28,0.2%
L.Guilherme,27,1.5,1.5,1.7,1.4,1.4,7.5,0.30,0.1%
Henry,38,1.3,1.4,1.8,1.4,1.5,7.3,0.33,0.2%
Onana,30,1.3,1.3,1.5,1.5,1.7,7.2,0.29,1.7%
Seelt,62,2.2,2.1,1.8,0.8,0.3,7.2,0.36,0.4%
Jota,22,1.4,1.2,1.7,1.2,1.6,7.1,0.26,0.1%
Kamada,29,1.2,1.4,1.3,1.7,1.4,7.1,0.28,0.1%
Foster,27,1.3,1.7,1.2,1.4,1.3,6.9,0.28,0.4%
G.Rodriguez,36,1.5,1.3,1.4,1.4,1.4,6.8,0.27,0.1%
Ramazani,21,1.3,1.1,1.5,1.5,1.4,6.8,0.27,0.1%
Milambo,16,0.8,1.3,1.5,1.5,1.7,6.8,0.25,0.1%
Mount,24,1.2,1.4,1.8,1.1,1.3,6.7,0.22,0.2%
Casemiro,29,1.3,1.1,1.5,1.3,1.4,6.6,0.24,0.2%
Savinho,18,1.2,1.2,1.4,1.4,1.2,6.5,0.19,1.9%
Gruda,18,1.2,1.5,1.3,1.2,1.4,6.5,0.24,0.1%
Mings,27,1.1,1.1,1.4,1.1,1.7,6.5,0.29,0.5%
O'Riley,21,1.3,1.3,1.2,1.3,1.4,6.4,0.23,0.2%
Harrison,22,1.3,1.1,1.3,1.4,1.3,6.4,0.23,0.2%
Trippier,28,1.1,0.9,1.4,1.8,1.2,6.4,0.25,1.5%
Gusto,25,1.2,1.3,1.3,1.2,1.3,6.3,0.25,2.2%
Robertson,22,1.3,1.2,1.1,1.3,1.5,6.3,0.21,2.1%
P.M.Sarr,22,1.2,1.0,1.4,1.3,1.3,6.2,0.25,1.8%
