Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Chalobah,15,15,15,22,22,19,93,3.7,0.6%
Estêvão,15,15,10,12,12,13,62,1.9,0.5%
Lamptey,19,19,14,16,20,22,91,4.0,0.4%
Philip,23,23,28,9,5,7,72,2.9,0.1%
Veltman,20,20,22,29,20,17,108,4.8,0.3%
M.Bizot,93,93,3,2,2,4,104,4.6,0.3%
Scarles,13,13,19,20,18,20,90,4.0,0.1%
Osula,7,7,9,11,16,12,55,2.0,0.2%
Ekwah,20,20,21,24,17,12,94,4.2,0.1%
Esse,8,8,12,14,13,14,61,2.4,0.3%
Hee Chan,5,5,10,11,14,15,55,1.8,0.2%
Khusanov,18,18,16,16,20,21,91,3.3,0.3%
Koleosho,14,14,13,13,14,16,70,2.8,0.1%
N.Gonzalez,12,12,14,17,15,17,75,2.5,0.1%
Cairney,9,9,11,12,15,21,68,2.7,0.1%
Kroupi.Jr,11,11,16,9,9,11,56,2.5,1.5%
Sosa,11,11,13,14,15,18,71,2.8,0.1%
Clyne,11,11,15,19,20,19,84,4.2,0.7%
Barkley,8,8,9,13,11,16,57,2.3,0.3%
Nunes,9,9,9,14,9,12,53,2.1,0.1%
King,8,8,13,12,12,19,64,2.8,0.3%
Tchaouna,8,8,12,12,11,13,56,2.2,0.1%
O'Nien,0,0,0,0,36,78,114,5.7,0.0%
Summerville,0,0,0,0,21,45,66,2.4,0.0%
Stones,11,11,16,17,12,19,75,2.7,0.5%
Aznou,10,10,16,17,20,22,85,3.8,0.1%
Chiesa,7,7,7,7,8,9,38,1.2,0.1%
Hato,10,10,13,14,18,19,74,3.0,0.1%
Byram,15,15,13,17,16,23,84,4.2,0.4%
Dewsbury-Hall,7,7,9,16,11,12,55,2.2,0.4%
Hickey,5,5,11,17,21,32,86,4.3,0.8%
Nørgaard,12,12,11,13,12,15,63,2.3,0.7%
Benson,10,10,8,10,11,12,51,1.9,0.0%
Pinnock,6,6,10,20,18,17,71,3.2,0.3%
Neil,10,10,16,18,16,18,78,3.1,0.1%
Humphreys,11,11,16,18,16,19,80,4.0,0.4%
Pedro Lima,11,11,12,15,16,17,71,3.5,1.4%
Kiwior,11,11,10,14,15,17,67,2.4,0.1%
Grealish,6,6,7,8,8,9,38,1.2,0.1%
Nwaneri,6,6,7,10,6,9,38,1.4,0.4%
Lesley Ugochukwu,11,11,8,11,15,13,58,0.1,0.0%
Nkunku,7,7,5,6,7,7,32,1.1,0.3%
Bissouma,10,10,9,14,12,13,58,2.1,0.1%
Mepham,9,9,14,14,16,18,71,3.5,0.3%
Gruev,8,8,10,11,15,19,63,2.5,0.1%
Endo,23,23,4,6,6,7,46,1.8,0.1%
Janelt,0,0,0,11,26,22,59,2.4,0.2%
Devenny,5,5,8,8,10,10,41,1.8,1.7%
March,0,0,0,5,17,19,41,1.4,0.1%
Lucas Pires,9,9,12,17,18,17,73,3.6,0.3%
Tzimas,4,4,7,5,5,7,28,1.0,0.1%
Barnes,6,6,4,9,7,10,36,1.6,5.0%
Gray,8,8,11,12,13,18,62,2.5,0.2%
Igor,9,9,13,15,17,15,69,3.1,0.1%
Mundle,0,0,0,8,17,19,44,1.8,0.1%
Diop,7,7,13,16,15,16,67,3.0,0.1%
A.García,8,8,8,10,10,13,49,2.5,1.0%
Buonanotte,4,4,7,8,7,5,31,1.2,0.3%
Willock,0,0,0,0,13,30,43,1.7,0.2%
H.Bueno,10,10,9,13,11,7,50,2.2,0.1%
Ajer,7,7,12,15,12,11,57,2.5,0.2%
Y.Chermiti,4,4,5,6,7,7,29,1.2,0.2%
Doucouré,4,2,7,14,10,10,43,1.7,0.0%
Bayindir,49,49,5,2,1,2,59,2.4,0.5%
Josh Bowler,4,4,7,6,5,8,30,0.1,0.0%
